tracking_id,timestamp,state,city,area,category,severity_reported,description,image_ref,status,admin_remarks,ai_category,ai_severity,ai_priority_score,ai_confidence,ai_reasoning,cluster_flag
N63SXM74,2026-01-31 18:43:33,Sikkim,Namchi,Bus Stand,Other,Medium,Graffiti on walls,None,Resolved,,Other,Medium,5,0.95,Classified as 'Other'. Severity 'Medium' based on keywords.,False
HKP9Z3QH,2025-11-23 09:28:48,Uttarakhand,Rishikesh,Civil Lines,Water,High,Leakage in main pipe,None,Resolved,,Water,High,8,0.89,Classified as 'Water'. Severity 'High' based on keywords.,False
Y77NDHKY,2025-12-18 11:35:33,Haryana,Gurugram,Station Road,Sanitation,High,Garbage not collected,None,In Progress,,Sanitation,High,8,0.87,Classified as 'Sanitation'. Severity 'High' based on keywords.,False
XFO2AVK7,2025-12-07 20:50:18,Goa,Margao,Civil Lines,Other,Low,Illegal construction,None,Open,,Other,Low,2,0.83,Classified as 'Other'. Severity 'Low' based on keywords.,False
P04D5BWK,2026-01-12 02:43:45,Madhya Pradesh,Jabalpur,Civil Lines,Sanitation,Medium,Overflowing dustbins,None,Rejected,,Sanitation,Medium,5,0.86,Classified as 'Sanitation'. Severity 'Medium' based on keywords.,False
K32W8JLV,2026-02-06 16:20:24,Madhya Pradesh,Bhopal,Railway Station,Road,Critical,Road surface uneven,None,Open,,Road,Critical,10,0.87,Classified as 'Road'. Severity 'Critical' based on keywords.,False
MPYBF1EL,2025-12-07 20:40:46,Haryana,Ambala,Railway Station,Safety,Critical,Chain snatching incident,None,Rejected,,Safety,Critical,10,0.89,Classified as 'Safety'. Severity 'Critical' based on keywords.,False
R1CQYIA7,2025-12-01 15:34:56,Jharkhand,Jamshedpur,Colony Area,Road,Low,Manhole cover missing,None,Open,,Road,Low,2,0.89,Classified as 'Road'. Severity 'Low' based on keywords.,False
XVBXOO39,2025-12-04 01:19:59,Jammu and Kashmir,Jammu,Station Road,Electricity,Medium,Voltage fluctuation,None,In Progress,,Electricity,Medium,5,0.89,Classified as 'Electricity'. Severity 'Medium' based on keywords.,False
J6OEH2M3,2026-01-17 16:32:15,Gujarat,Surat,Main Market,Electricity,Low,Street lights not working,None,Resolved,,Electricity,Low,2,0.78,Classified as 'Electricity'. Severity 'Low' based on keywords.,False
L8M7C6G5,2025-12-09 17:53:04,Sikkim,Namchi,Railway Station,Internet,Critical,Public Wi-Fi down,None,Resolved,,Internet,Critical,10,0.84,Classified as 'Internet'. Severity 'Critical' based on keywords.,False
FHVKD9YQ,2025-11-29 03:12:48,Meghalaya,Tura,Railway Station,Traffic,Medium,Need speed breaker,None,Open,,Traffic,Medium,5,0.95,Classified as 'Traffic'. Severity 'Medium' based on keywords.,False
4X0OWL9H,2026-01-07 02:06:23,West Bengal,Howrah,Railway Station,Safety,High,Dark alley unsafe at night,None,Rejected,,Safety,High,8,0.93,Classified as 'Safety'. Severity 'High' based on keywords.,False
XLLPKNZ7,2026-02-02 05:30:08,Himachal Pradesh,Dharamshala,Main Market,Internet,Low,Router issue in park,None,In Progress,,Internet,Low,2,0.77,Classified as 'Internet'. Severity 'Low' based on keywords.,False
WSRJVN9V,2025-11-29 08:52:13,Himachal Pradesh,Dharamshala,Sector 5,Sanitation,Critical,Garbage not collected,None,Rejected,,Sanitation,Critical,10,0.95,Classified as 'Sanitation'. Severity 'Critical' based on keywords.,False
5K8D8JS2,2026-01-27 04:20:39,Odisha,Rourkela,Bus Stand,Road,Critical,Huge pothole on main street,None,Open,,Road,Critical,10,0.95,Classified as 'Road'. Severity 'Critical' based on keywords.,False
22PDIP5J,2025-12-06 17:23:31,Bihar,Patna,Colony Area,Safety,Medium,Stray dogs attacking,None,Open,,Safety,Medium,5,0.91,Classified as 'Safety'. Severity 'Medium' based on keywords.,False
LA0CNUQY,2026-02-07 22:30:54,Delhi,East Delhi,Sector 8,Other,Medium,Public park maintenance needed,None,In Progress,,Other,Medium,5,0.9,Classified as 'Other'. Severity 'Medium' based on keywords.,False
QUCJJ3TK,2025-11-15 12:56:33,Jharkhand,Dhanbad,Colony Area,Internet,High,Fiber cable cut,None,In Progress,,Internet,High,8,0.86,Classified as 'Internet'. Severity 'High' based on keywords.,False
ZKM2S8UL,2026-01-11 11:17:41,Maharashtra,Pune,Bus Stand,Safety,Low,Chain snatching incident,None,In Progress,,Safety,Low,2,0.97,Classified as 'Safety'. Severity 'Low' based on keywords.,False
3SCBZORW,2025-11-26 07:45:18,Arunachal Pradesh,Pasighat,Bus Stand,Internet,Low,Slow internet speed,None,Rejected,,Internet,Low,2,0.78,Classified as 'Internet'. Severity 'Low' based on keywords.,False
H9J81E7C,2025-12-26 20:08:46,Andhra Pradesh,Visakhapatnam,Main Market,Other,Low,Tree fallen on road,None,Open,,Other,Low,2,0.92,Classified as 'Other'. Severity 'Low' based on keywords.,False
3K5U4FJF,2025-12-31 10:24:02,Bihar,Bhagalpur,Civil Lines,Safety,Critical,Stray dogs attacking,None,Resolved,,Safety,Critical,10,0.81,Classified as 'Safety'. Severity 'Critical' based on keywords.,False
AFU36U9I,2025-12-04 15:48:39,West Bengal,Kolkata,Colony Area,Other,High,Illegal construction,None,Open,,Other,High,8,0.75,Classified as 'Other'. Severity 'High' based on keywords.,False
WGFWM2V2,2025-12-15 05:33:15,Ladakh,Kargil,Bus Stand,Internet,Medium,Public Wi-Fi down,None,Open,,Internet,Medium,5,0.91,Classified as 'Internet'. Severity 'Medium' based on keywords.,False
CHJAO1YS,2026-02-02 18:12:24,Chhattisgarh,Bilaspur,Bus Stand,Electricity,High,Frequent power cuts,None,Rejected,,Electricity,High,8,0.77,Classified as 'Electricity'. Severity 'High' based on keywords.,False
PP9CAW50,2026-01-04 17:53:02,Odisha,Puri,Main Market,Sanitation,Critical,Dead animal on road,None,Resolved,,Sanitation,Critical,10,0.82,Classified as 'Sanitation'. Severity 'Critical' based on keywords.,False
SRCRZYWR,2025-12-17 11:41:35,Chhattisgarh,Raipur,Sector 13,Sanitation,High,Garbage not collected,None,In Progress,,Sanitation,Critical,10,0.87,Classified as 'Sanitation'. Severity 'High' based on keywords. [⚠ AI BURST: 11 reports in Raipur] [⚠ AI BURST: 11 reports in Raipur],True
OV1D3FUF,2026-01-12 16:35:12,Madhya Pradesh,Indore,Colony Area,Other,Low,Public park maintenance needed,None,Open,,Other,Low,2,0.85,Classified as 'Other'. Severity 'Low' based on keywords.,False
UTZ3J9I1,2026-01-04 16:47:40,Arunachal Pradesh,Pasighat,Station Road,Sanitation,High,Garbage not collected,None,Rejected,,Sanitation,High,8,0.97,Classified as 'Sanitation'. Severity 'High' based on keywords.,False
TF2FVQGA,2025-11-23 07:04:16,Puducherry,Puducherry,Station Road,Road,Medium,Manhole cover missing,None,Open,,Road,Medium,5,0.88,Classified as 'Road'. Severity 'Medium' based on keywords.,False
V527R0LJ,2026-01-25 06:15:36,Kerala,Kozhikode,Colony Area,Road,Low,Street light pole damaged,None,Resolved,,Road,Low,2,0.93,Classified as 'Road'. Severity 'Low' based on keywords.,False
Q8UUAR9Z,2025-12-24 13:51:24,Tripura,Udaipur,Sector 1,Road,Critical,Road caved in due to rain,None,Rejected,,Road,Critical,10,0.99,Classified as 'Road'. Severity 'Critical' based on keywords.,False
9QOZYQUE,2025-12-02 04:08:07,Puducherry,Puducherry,Colony Area,Road,Critical,Street light pole damaged,None,Resolved,,Road,Critical,10,0.87,Classified as 'Road'. Severity 'Critical' based on keywords.,False
0TG54400,2025-12-14 13:17:49,Telangana,Hyderabad,Main Market,Sanitation,Critical,Sewage blockage,None,In Progress,,Sanitation,Critical,10,0.95,Classified as 'Sanitation'. Severity 'Critical' based on keywords.,False
2RHF43AS,2025-11-13 01:29:28,Goa,Vasco da Gama,Station Road,Other,Critical,Tree fallen on road,None,In Progress,,Other,Critical,10,0.95,Classified as 'Other'. Severity 'Critical' based on keywords.,False
HEW78B73,2026-01-29 00:47:53,Uttar Pradesh,Kanpur,Railway Station,Traffic,Low,Traffic signal broken,None,Open,,Traffic,Low,2,0.9,Classified as 'Traffic'. Severity 'Low' based on keywords.,False
9NBGSZTE,2025-11-19 20:18:30,Mizoram,Aizawl,Civil Lines,Sanitation,High,Dead animal on road,None,In Progress,,Sanitation,High,8,0.8,Classified as 'Sanitation'. Severity 'High' based on keywords.,False
1Y64R3D0,2026-02-03 09:38:39,Telangana,Hyderabad,Sector 18,Road,High,Huge pothole on main street,None,In Progress,,Road,High,8,0.83,Classified as 'Road'. Severity 'High' based on keywords.,False
RXYI4UEJ,2025-11-29 02:00:00,Punjab,Amritsar,Bus Stand,Sanitation,Low,Sewage blockage,None,Open,,Sanitation,Critical,10,0.92,Classified as 'Sanitation'. Severity 'Low' based on keywords. [⚠ AI BURST: 6 reports in Amritsar] [⚠ AI BURST: 6 reports in Amritsar],True
RU4M8BQ0,2025-11-23 08:02:31,Manipur,Imphal,Station Road,Electricity,Medium,Voltage fluctuation,None,Open,,Electricity,Medium,5,0.81,Classified as 'Electricity'. Severity 'Medium' based on keywords.,False
GKPWNT9J,2025-12-13 16:16:25,Maharashtra,Pune,Station Road,Other,Low,Illegal construction,None,Resolved,,Other,Low,2,0.83,Classified as 'Other'. Severity 'Low' based on keywords.,False
EWVP9BRE,2025-11-22 22:22:21,Manipur,Imphal,Civil Lines,Road,Low,Manhole cover missing,None,Rejected,,Road,Low,2,0.93,Classified as 'Road'. Severity 'Low' based on keywords.,False
YAGQ95B2,2025-11-20 10:00:47,Ladakh,Kargil,Station Road,Internet,High,Router issue in park,None,Rejected,,Internet,High,8,0.96,Classified as 'Internet'. Severity 'High' based on keywords.,False
PJC1S270,2026-01-09 20:35:57,Karnataka,Hubballi,Station Road,Internet,Low,Connectivity lost,None,Open,,Internet,Low,2,0.79,Classified as 'Internet'. Severity 'Low' based on keywords.,False
M103DFO4,2026-02-08 10:49:18,Sikkim,Gangtok,Sector 14,Other,Critical,Illegal construction,None,Resolved,,Other,Critical,10,0.97,Classified as 'Other'. Severity 'Critical' based on keywords.,False
6X9O2AZI,2026-01-15 23:56:43,Jammu and Kashmir,Srinagar,Colony Area,Electricity,Low,Live wire hanging low,None,Resolved,,Electricity,Low,2,0.76,Classified as 'Electricity'. Severity 'Low' based on keywords.,False
2CTWJ5CZ,2026-01-14 04:29:57,Bihar,Patna,Civil Lines,Road,Low,Manhole cover missing,None,In Progress,,Road,Low,2,0.94,Classified as 'Road'. Severity 'Low' based on keywords.,False
9GUOASEN,2025-12-02 11:41:57,Puducherry,Puducherry,Civil Lines,Traffic,Critical,Traffic signal broken,None,Open,,Traffic,Critical,10,0.79,Classified as 'Traffic'. Severity 'Critical' based on keywords.,False
JPDTMWOB,2025-12-29 10:01:27,Manipur,Imphal,Main Market,Water,Critical,Pipeline burst flooding street,None,Open,,Water,Critical,10,0.96,Classified as 'Water'. Severity 'Critical' based on keywords.,False
E8OWAAY2,2025-11-24 07:07:21,West Bengal,Kolkata,Bus Stand,Internet,High,Connectivity lost,None,Rejected,,Internet,High,8,0.94,Classified as 'Internet'. Severity 'High' based on keywords.,False
8ECRGHP7,2026-01-28 11:23:34,Nagaland,Kohima,Railway Station,Other,Low,Tree fallen on road,None,Rejected,,Other,Low,2,0.76,Classified as 'Other'. Severity 'Low' based on keywords.,False
ZGV0E6PI,2025-12-31 06:40:02,Ladakh,Kargil,Colony Area,Electricity,Critical,Frequent power cuts,None,Rejected,,Electricity,Critical,10,0.97,Classified as 'Electricity'. Severity 'Critical' based on keywords.,False
8PFUB7QF,2025-12-12 01:53:32,Uttar Pradesh,Noida,Civil Lines,Traffic,Critical,Wrong side driving,None,Rejected,,Traffic,Critical,10,0.99,Classified as 'Traffic'. Severity 'Critical' based on keywords.,False
F04PUV9D,2025-12-15 18:10:14,Nagaland,Kohima,Colony Area,Safety,High,Suspicious activity reported,None,Rejected,,Safety,High,8,0.83,Classified as 'Safety'. Severity 'High' based on keywords.,False
ELWEAV3Z,2025-11-22 11:44:34,Karnataka,Mysuru,Colony Area,Internet,Low,Public Wi-Fi down,None,Resolved,,Internet,Low,2,0.8,Classified as 'Internet'. Severity 'Low' based on keywords.,False
S3NTZB9X,2026-01-24 12:13:12,Jammu and Kashmir,Jammu,Colony Area,Safety,Low,Suspicious activity reported,None,Rejected,,Safety,Low,2,0.97,Classified as 'Safety'. Severity 'Low' based on keywords.,False
SZJMFWYL,2026-01-23 09:59:20,Puducherry,Karaikal,Colony Area,Water,Low,Low pressure in taps,None,Rejected,,Water,Low,2,0.92,Classified as 'Water'. Severity 'Low' based on keywords.,False
GL26XNXK,2025-11-12 13:09:35,Puducherry,Puducherry,Sector 10,Other,High,Public park maintenance needed,None,Resolved,,Other,High,8,0.83,Classified as 'Other'. Severity 'High' based on keywords.,False
4VGO2HBR,2025-12-14 13:07:22,Assam,Dibrugarh,Sector 10,Safety,Critical,Chain snatching incident,None,Open,,Safety,Critical,10,0.83,Classified as 'Safety'. Severity 'Critical' based on keywords.,False
QDW1WHJR,2026-02-04 11:25:01,Telangana,Hyderabad,Bus Stand,Water,Critical,Dirty water supply,None,Open,,Water,Critical,10,0.78,Classified as 'Water'. Severity 'Critical' based on keywords.,False
M8GM73R6,2026-02-10 00:05:05,Gujarat,Gandhidham,internet issue,Internet,Low,issue,None,Open,,Internet,Critical,10,0.9,Classified 'Internet'. Severity 'Low'. [⚠ AI BURST: 3 reports in Gandhidham] [⚠ AI BURST: 3 reports in Gandhidham] [⚠ AI BURST: 3 reports in Gandhidham],True
1WFOI5XR,2026-02-10 00:05:24,Gujarat,Gandhidham,internet issue ,Internet,Low,very very low speed ,None,Open,,Internet,Critical,10,0.9,Classified 'Internet'. Severity 'Low'. [⚠ AI BURST: 3 reports in Gandhidham] [⚠ AI BURST: 3 reports in Gandhidham] [⚠ AI BURST: 3 reports in Gandhidham],True
8J29B0M5,2025-12-05 14:22:10,Gujarat,Gandhidham,Railway Station,Internet,Critical,Connectivity lost,None,Rejected,,Internet,Critical,10,0.88,Classified as 'Internet'. Severity 'Critical' based on keywords.,False
L9P4K3X2,2026-01-19 09:15:33,Maharashtra,Mumbai,Colony Area,Water,Medium,Dirty water supply,None,Open,,Water,Medium,5,0.92,Classified as 'Water'. Severity 'Medium' based on keywords.,False
Q7V5N1Z8,2026-02-01 11:40:22,Uttar Pradesh,Lucknow,Civil Lines,Traffic,High,Traffic signal broken,None,In Progress,,Traffic,High,8,0.95,Classified as 'Traffic'. Severity 'High' based on keywords.,False
M3C6D9F1,2025-12-12 16:55:05,Delhi,South Delhi,Sector 4,Electricity,Low,Street lights not working,None,Resolved,,Electricity,Low,2,0.85,Classified as 'Electricity'. Severity 'Low' based on keywords.,False
K1L8P4J7,2026-01-28 08:30:15,Andhra Pradesh,Visakhapatnam,Main Market,Sanitation,Critical,Garbage not collected,None,Open,,Sanitation,Critical,10,0.91,Classified as 'Sanitation'. Severity 'Critical' based on keywords.,False
R5T2Y8U4,2025-11-20 13:10:45,Karnataka,Bengaluru,Tech Park,Road,Medium,Huge pothole on main street,None,In Progress,,Road,Medium,5,0.89,Classified as 'Road'. Severity 'Medium' based on keywords.,False
B9N3M6V1,2025-12-25 19:45:30,Tamil Nadu,Chennai,Colony Area,Safety,High,Chain snatching incident,None,Rejected,,Safety,High,8,0.82,Classified as 'Safety'. Severity 'High' based on keywords.,False
X4Z1C8V5,2026-02-05 07:20:10,Telangana,Hyderabad,Bus Stand,Other,Low,Noise pollution,None,Resolved,,Other,Low,2,0.78,Classified as 'Other'. Severity 'Low' based on keywords.,False
H6J2K9L3,2026-01-10 22:15:55,West Bengal,Kolkata,Station Road,Water,Critical,Pipeline burst flooding street,None,Open,,Water,Critical,10,0.96,Classified as 'Water'. Severity 'Critical' based on keywords.,False
F1D5S8A2,2025-12-18 10:05:20,Rajasthan,Jaipur,Civil Lines,Electricity,Medium,Voltage fluctuation,None,In Progress,,Electricity,Medium,5,0.87,Classified as 'Electricity'. Severity 'Medium' based on keywords.,False
P3O9I2U6,2026-01-03 14:50:40,Punjab,Ludhiana,Main Market,Traffic,Low,Wrong side driving,None,Rejected,,Traffic,Low,2,0.83,Classified as 'Traffic'. Severity 'Low' based on keywords.,False
Y7T4R1E9,2025-11-28 05:35:15,Odisha,Bhubaneswar,Sector 9,Internet,High,Public Wi-Fi down,None,Resolved,,Internet,High,8,0.94,Classified as 'Internet'. Severity 'High' based on keywords.,False
C2V5B8N1,2026-02-08 17:25:50,Kerala,Kochi,Railway Station,Sanitation,Medium,Sewage blockage,None,Open,,Sanitation,Critical,10,0.9,Classified as 'Sanitation'. Severity 'Medium' based on keywords. [⚠ AI BURST: 8 reports in Kochi] [⚠ AI BURST: 8 reports in Kochi],True
M9L4K2J7,2025-12-09 12:10:30,Assam,Guwahati,Colony Area,Safety,Critical,Stray dogs attacking,None,In Progress,,Safety,Critical,10,0.88,Classified as 'Safety'. Severity 'Critical' based on keywords.,False
Q1W3E5R7,2026-01-22 08:45:10,Bihar,Patna,Civil Lines,Road,High,Road surface uneven,None,Rejected,,Road,High,8,0.86,Classified as 'Road'. Severity 'High' based on keywords.,False
Z8X4C2V5,2025-11-15 20:30:25,Madhya Pradesh,Indore,Sector 3,Electricity,Critical,Transformer sparking,None,Resolved,,Electricity,Critical,10,0.98,Classified as 'Electricity'. Severity 'Critical' based on keywords.,False
N3M6B9V1,2026-02-03 15:15:40,Haryana,Gurugram,Tech Park,Internet,Medium,Fiber cable cut,None,Open,,Internet,Medium,5,0.93,Classified as 'Internet'. Severity 'Medium' based on keywords.,False
J7H5G3F2,2025-12-30 09:55:55,Uttarakhand,Dehradun,Main Market,Other,High,Illegal construction,None,In Progress,,Other,High,8,0.84,Classified as 'Other'. Severity 'High' based on keywords.,False
L1K2J3H4,2026-01-14 11:20:10,Goa,Panaji,Beach Road,Sanitation,Low,Overflowing dustbins,None,Rejected,,Sanitation,Low,2,0.89,Classified as 'Sanitation'. Severity 'Low' based on keywords.,False
S5D4F3G2,2025-12-02 06:40:30,Chhattisgarh,Raipur,Civil Lines,Traffic,Critical,Accident prone junction,None,Resolved,,Traffic,Critical,10,0.91,Classified as 'Traffic'. Severity 'Critical' based on keywords.,False
A9S8D7F6,2026-01-25 18:05:45,Jharkhand,Ranchi,Station Road,Water,Low,Leakage in main pipe,None,Open,,Water,Low,2,0.85,Classified as 'Water'. Severity 'Low' based on keywords.,False
Q2W3E4R5,2025-11-22 13:30:20,Himachal Pradesh,Shimla,Mall Road,Safety,Medium,CCTV not working,None,In Progress,,Safety,Critical,10,0.92,Classified as 'Safety'. Severity 'Medium' based on keywords. [⚠ AI BURST: 8 reports in Shimla] [⚠ AI BURST: 8 reports in Shimla],True
T6Y7U8I9,2026-02-09 09:10:55,Tripura,Agartala,Colony Area,Electricity,High,Live wire hanging low,None,Rejected,,Electricity,High,8,0.95,Classified as 'Electricity'. Severity 'High' based on keywords.,False
O1P2A3S4,2025-12-14 21:50:35,Manipur,Imphal,Main Market,Road,Medium,Street light pole damaged,None,Resolved,,Road,Medium,5,0.87,Classified as 'Road'. Severity 'Medium' based on keywords.,False
D5F6G7H8,2026-01-08 14:25:10,Meghalaya,Shillong,Civil Lines,Internet,Low,Slow internet speed,None,Open,,Internet,Low,2,0.88,Classified as 'Internet'. Severity 'Low' based on keywords.,False
J9K0L1Z2,2025-12-28 07:15:45,Nagaland,Kohima,Bus Stand,Other,Critical,Graffiti on walls,None,In Progress,,Other,Critical,10,0.82,Classified as 'Other'. Severity 'Critical' based on keywords.,False
X3C4V5B6,2026-01-17 16:40:20,Mizoram,Aizawl,Sector 2,Sanitation,High,Dead animal on road,None,Rejected,,Sanitation,High,8,0.93,Classified as 'Sanitation'. Severity 'High' based on keywords.,False
